Continent,Regions,Code,Zones,City,State,Country,Opened,Latitude,Longitude,Company,Location
North America,Queretaro,TBD,3,Queretaro,,Mexico,Future,20.5875,-100.3928,google,"Queretaro, Mexico"
Europe,Warsaw,europe-central2,3,Warsaw,,Poland,2021,52.23,21.0111,google,"Warsaw, Poland"
Europe,Finland,europe-north1,3,Hamina,,Finland,2018,60.5667,27.2,google,"Hamina, Finland"
Europe,Madrid,europe-southwest1,3,Madrid,,Spain,2022,40.4169,-3.7033,google,"Madrid, Spain"
Europe,Belgium,europe-west1,3,St. Ghislain,,Belgium,2013,50.4706,3.817,google,"St. Ghislain, Belgium"
Europe,London,europe-west2,3,London,,United Kingdom,2017,51.5072,-0.1275,google,"London, United Kingdom"
Europe,Frankfurt,europe-west3,3,Frankfurt,,Germany,2017,50.1106,8.6822,google,"Frankfurt, Germany"
Europe,Netherlands,europe-west4,3,Eemshaven,,Netherlands,2018,53.4386,6.8355,google,"Eemshaven, Netherlands"
Europe,Zurich,europe-west6,3,Zurich,,Switzerland,2019,47.3744,8.5411,google,"Zurich, Switzerland"
Europe,Milan,europe-west8,3,Milan,,Italy,2022,45.4669,9.19,google,"Milan, Italy"
Europe,Paris,europe-west9,3,Paris,,France,2022,48.8567,2.3522,google,"Paris, France"
Europe,Berlin,europe-west10,3,Berlin,,Germany,2023,52.52,13.405,google,"Berlin, Germany"
Europe,Turin,europe-west12,3,Turin,,Italy,2023,45.0792,7.6761,google,"Turin, Italy"
